name,POS,Team,Games,Min,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
Larry Nance Jr.,"PF,C",POR,68,27.1,0.474,3.2,6.7,0.645,0.8,1.2,1.0,8.0,5.8,2.7,1.5,0.4,1.4
Matisse Thybulle,"SG,SF",PHI,74,24.6,0.438,2.5,5.6,0.5710000000000001,0.2,0.4,0.9,6.0,2.2,1.2,1.7,1.3,0.6
Jalen Green,SG,HOU,73,31.8,0.435,6.5,14.9,0.789,2.0,2.5,2.4,17.4,3.6,2.4,1.2,0.2,2.7
Will Barton,"SG,SF",DEN,70,32.5,0.434,5.8,13.4,0.7909999999999999,1.8,2.3,1.9,15.3,4.2,3.3,0.9,0.4,1.8
Thomas Bryant,C,WAS,38,25.2,0.647,5.3,8.2,0.664,1.4,2.2,0.8,12.9,5.5,1.4,0.4,0.7,1.0
RJ Barrett,"SG,SF",NYK,75,34.4,0.447,6.9,15.5,0.763,3.0,3.9,1.8,18.6,5.9,3.1,0.7,0.3,2.0
Montrezl Harrell,"PF,C",WAS,68,25.0,0.593,5.4,9.2,0.703,2.8,4.0,0.0,13.7,6.7,1.2,0.8,0.8,1.2
Aleksej Pokusevski,SF,OKC,70,27.3,0.433,5.0,11.5,0.7659999999999999,1.1,1.4,2.0,13.1,5.7,2.6,0.5,1.1,2.6
Thaddeus Young,"PF,C",SAS,70,22.1,0.551,4.9,8.9,0.5870000000000001,0.9,1.6,0.2,11.0,5.6,3.9,1.0,0.6,1.8
Dillon Brooks,"SG,SF",MEM,74,29.6,0.422,6.5,15.3,0.826,2.4,2.9,1.9,17.1,2.9,2.3,1.2,0.4,1.8
Derrick Rose,"PG,SG",NYK,65,23.2,0.467,5.2,11.1,0.877,2.0,2.3,0.9,13.3,2.4,3.8,0.9,0.4,1.5
Malik Beasley,"PG,SG",MIN,71,28.5,0.438,6.2,14.0,0.8170000000000001,1.6,1.9,3.0,16.9,3.8,2.1,0.7,0.2,1.4
Terrence Ross,"SG,SF",ORL,68,28.4,0.41,5.3,12.9,0.866,2.5,2.9,1.8,15.1,3.4,2.3,1.0,0.5,1.6
Jordan Poole,"PG,SG",GSW,72,23.9,0.442,5.0,11.2,0.897,2.6,2.9,2.4,14.9,2.2,2.4,0.6,0.3,1.2
Facundo Campazzo,PG,DEN,73,26.1,0.394,2.3,5.7,0.856,1.4,1.7,1.4,7.4,2.4,4.3,1.4,0.2,1.3
Bojan Bogdanovic,"SF,PF",UTA,78,30.7,0.434,5.6,12.9,0.8640000000000001,3.2,3.7,2.5,16.9,3.9,1.9,0.6,0.1,1.8
Royce O'Neale,"SF,PF",UTA,75,31.4,0.446,2.5,5.6,0.857,0.6,0.7,1.5,7.0,6.8,2.5,0.8,0.5,1.2
Victor Oladipo,"SG,SF",MIA,35,26.5,0.422,5.5,13.1,0.763,2.5,3.3,1.9,15.5,3.9,3.7,1.1,0.3,2.0
Duncan Robinson,"SG,SF",MIA,80,30.0,0.44,4.2,9.5,0.905,0.9,1.0,3.3,12.5,3.3,1.7,0.6,0.3,1.1
Danilo Gallinari,"SF,PF",ATL,65,22.6,0.43,3.8,8.8,0.941,3.0,3.2,1.9,12.5,4.0,1.4,0.6,0.2,0.8
Tim Hardaway Jr.,"SG,SF",DAL,77,30.2,0.446,6.2,13.8,0.8009999999999999,2.1,2.7,3.2,17.7,3.5,1.9,0.4,0.2,1.0
Serge Ibaka,"PF,C",LAC,64,22.0,0.505,4.2,8.4,0.8440000000000001,1.0,1.2,0.9,10.4,6.3,1.7,0.2,1.0,1.0
Brandon Clarke,"SF,PF",MEM,70,24.0,0.511,4.3,8.4,0.6829999999999999,1.3,1.9,0.3,10.3,5.6,1.6,1.0,0.9,0.6
Alperen Sengun,C,HOU,70,20.8,0.531,4.1,7.8,0.7959999999999999,1.7,2.1,0.5,10.5,6.4,1.2,0.6,0.9,1.9
Lauri Markkanen,"PF,C",CLE,68,27.4,0.477,4.9,10.3,0.8340000000000001,1.5,1.8,2.2,13.6,5.3,0.9,0.5,0.3,1.0
Terance Mann,SF,LAC,76,25.7,0.483,4.2,8.6,0.856,1.9,2.2,1.0,11.2,5.5,2.5,0.6,0.3,0.9
Cameron Payne,"PG,SG",PHX,72,20.5,0.486,3.7,7.7,0.877,0.9,1.1,1.4,9.8,2.8,4.2,0.7,0.4,1.2
Donte DiVincenzo,"PG,SG",MIL,60,26.9,0.421,3.7,8.8,0.7290000000000001,0.8,1.1,2.0,10.1,5.6,3.0,1.1,0.2,1.4
Tyler Herro,PG,MIA,70,27.0,0.443,5.5,12.5,0.8170000000000001,1.7,2.1,1.9,14.7,4.8,3.3,0.6,0.3,1.8
T.J. Warren,"SF,PF",IND,40,29.2,0.525,6.8,13.0,0.802,1.9,2.4,1.1,16.7,3.4,1.3,0.5,0.4,1.1
Dorian Finney-Smith,"SF,PF",DAL,75,28.1,0.475,3.5,7.3,0.77,0.5,0.6,1.9,9.3,5.1,1.6,0.8,0.4,0.8
Marcus Morris Sr.,"PF,C",LAC,71,26.9,0.465,4.9,10.5,0.8109999999999999,1.3,1.6,2.6,13.7,4.2,1.0,0.6,0.3,1.0
Seth Curry,"PG,SG",PHI,70,29.2,0.464,4.6,9.8,0.8590000000000001,1.2,1.4,2.2,12.7,2.4,2.7,0.8,0.1,1.1
Markelle Fultz,"PG,SG",ORL,46,27.3,0.428,5.1,12.0,0.8759999999999999,2.1,2.4,0.5,12.9,3.1,5.4,0.9,0.3,2.3
Kyle Kuzma,"SF,PF",WAS,74,28.1,0.445,5.8,13.0,0.715,1.0,1.4,2.1,14.6,6.1,1.9,0.5,0.6,1.7
LaMarcus Aldridge,"PF,C",BKN,55,21.6,0.493,4.5,9.1,0.83,1.8,2.2,0.7,11.5,4.5,1.5,0.4,1.0,0.9
Isaiah Roby,C,OKC,72,24.2,0.479,3.8,7.9,0.7390000000000001,1.6,2.1,0.6,9.7,6.2,2.0,1.0,0.7,2.1
Daniel Theis,"PF,C",HOU,70,25.2,0.542,4.0,7.3,0.6509999999999999,1.1,1.7,0.8,9.8,5.6,1.7,0.6,0.9,1.0
Ricky Rubio,PG,CLE,70,22.5,0.383,2.4,6.3,0.863,1.6,1.9,0.9,7.4,2.8,5.5,1.3,0.1,1.4
Nicolas Batum,"SF,PF",LAC,71,25.1,0.468,2.7,5.7,0.78,0.6,0.8,1.5,7.4,4.3,2.0,0.9,0.6,0.7
Jeremy Lamb,"SG,SF",IND,60,20.4,0.429,3.2,7.4,0.8640000000000001,1.9,2.2,1.3,9.6,3.5,1.4,0.9,0.7,0.6
Josh Hart,"SG,SF",NOP,67,27.0,0.439,3.0,6.8,0.792,1.4,1.8,1.2,8.6,7.5,2.2,0.8,0.3,1.0
Jae Crowder,"SF,PF",PHX,72,27.4,0.403,3.3,8.1,0.767,1.0,1.3,2.5,10.0,4.7,2.1,0.8,0.4,0.9
Patrick Williams,"SF,PF",CHI,78,30.2,0.487,3.9,7.9,0.732,1.4,1.9,0.9,10.0,4.9,1.5,1.0,0.6,1.5
Aaron Gordon,"SF,PF",DEN,72,31.7,0.464,5.0,10.7,0.6409999999999999,2.1,3.2,1.3,13.3,6.1,3.1,0.8,0.8,2.1
Goran Dragic,"PG,SG",TOR,64,26.4,0.433,4.7,10.9,0.835,2.0,2.4,1.8,13.2,3.3,4.3,0.7,0.1,2.4
Marvin Bagley III,"PF,C",SAC,62,26.7,0.501,5.7,11.4,0.7020000000000001,1.8,2.6,0.9,14.2,7.4,1.0,0.5,0.5,1.4
Cole Anthony,PG,ORL,72,25.9,0.422,4.5,10.7,0.821,2.2,2.7,1.2,12.4,4.5,3.9,0.7,0.4,2.2
Josh Giddey,"PG,SG",OKC,68,27.8,0.408,3.9,9.5,0.664,0.9,1.3,1.0,9.6,6.3,4.0,1.1,0.5,2.8
Talen Horton-Tucker,"SG,SF",LAL,76,22.2,0.467,4.2,8.9,0.748,1.8,2.4,0.7,10.8,3.1,3.3,1.2,0.4,1.9
Eric Bledsoe,"PG,SG",LAC,76,28.1,0.421,4.5,10.7,0.715,2.0,2.8,1.8,12.7,3.6,4.0,1.0,0.3,1.7
Coby White,"PG,SG",CHI,62,25.6,0.418,4.7,11.1,0.906,1.6,1.8,2.1,13.0,3.3,3.7,0.5,0.2,2.0
Killian Hayes,"PG,SG",DET,70,29.4,0.381,4.1,10.7,0.831,1.6,1.9,0.9,10.6,3.0,6.0,1.1,0.5,3.6
John Wall,PG,HOU,26,22.1,0.422,4.9,11.6,0.758,2.7,3.6,1.3,13.8,2.2,4.9,0.9,0.6,2.4
Andre Drummond,C,PHI,74,20.6,0.522,4.2,8.0,0.597,1.9,3.1,0.0,10.2,8.4,1.4,0.9,1.0,1.5
